Sample,ML 24-01,ML 24-02,ML 24-03,WT 24-04,WT 24-05,LL 24-08,LL 24-10,HL 24-11,HL 24-12,RS 24-13,RS 24-14,RS 24-15,RS 24-16,DS 24-17
ppb Pb,5.06,1.83,0.19,4.70,0.94,1.33,37.00,1.24,2.03,1.01,31.83,5.04,2.84,0.64
206Pb/204Pb,18.69,18.58,18.44,19.11,18.47,19.00,18.79,18.49,18.71,18.65,18.70,18.55,18.60,18.90
± (2s),0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.04,0.03,0.04,0.05,0.03,0.03,0.04
206Pb/207Pb,1.194,1.187,1.180,1.219,1.177,1.206,1.199,1.183,1.195,1.190,1.194,1.188,1.190,1.205
± (2s),0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
206Pb/208Pb,0.4858,0.4845,0.4833,0.4893,0.4821,0.4890,0.4844,0.4835,0.4863,0.4864,0.4880,0.4854,0.4846,0.4882
± (2s),0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009
87Sr/86Sr,0.708889,0.708955,0.716575,0.708392,0.709862,0.708571,0.706651,0.707853,0.707936,0.718928,0.714938,0.718716,0.716381,0.710565
± (2s),0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020,0.000020
ppb Sr,748.9,665.7,14.5,753.0,33.7,228.1,1641.7,495.2,7.0,5292.6,0.0,2934.3,0.4,0.9
